DeepFolder	datatype	sampleID	replicate	refererence_Genome
/icgc/dkfzlsdf/project/DEEP/sequencing/	strand_specific_rna_sequencing	53_Hm01_LPFi_Ct	replicate1	hs38
/icgc/dkfzlsdf/project/DEEP/sequencing/	strand_specific_rna_sequencing	53_Hm02_LPFi_RA	replicate1	hs38
/icgc/dkfzlsdf/project/DEEP/sequencing/	strand_specific_rna_sequencing	53_Hm03_LPFi_EA	replicate1	hs38
/icgc/dkfzlsdf/project/DEEP/sequencing/	strand_specific_rna_sequencing	53_Hm04_LPFi_Ct	replicate1	hs38
/icgc/dkfzlsdf/project/DEEP/sequencing/	strand_specific_rna_sequencing	53_Hm05_LPFi_RA	replicate1	hs38
/icgc/dkfzlsdf/project/DEEP/sequencing/	strand_specific_rna_sequencing	53_Hm06_LPFi_EA	replicate1	hs38
